,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
t0[0],1843.746,0.001,1843.743,1843.748,0.0,0.0,12664.0,7926.0,1.0
period[0],2.68,0.0,2.68,2.68,0.0,0.0,14011.0,10398.0,1.0
ror[0],0.021,0.002,0.019,0.024,0.0,0.0,5894.0,5253.0,1.0
b[0],0.613,0.265,0.104,0.958,0.004,0.003,5475.0,6740.0,1.0
dur[0],0.079,0.003,0.075,0.084,0.0,0.0,10516.0,6885.0,1.0
rho_circ[0],1.486,1.028,0.106,3.218,0.014,0.01,5611.0,8290.0,1.0
mean,0.0,0.0,0.0,0.0,0.0,0.0,17192.0,12838.0,1.0
u[0],0.436,0.318,0.0,1.014,0.003,0.002,9171.0,9877.0,1.0
u[1],0.104,0.33,-0.472,0.755,0.003,0.002,11490.0,10560.0,1.0
